FoodName,Description,CarTime,Carbon,kCals,Fat,Sugar,Protein,ACAR,ALCO,BCAR,BCRYPT,BIOT,CA,CHO,CHOL,CL,CMON,CN3,CN6,CU,ENGFIB,FAT,FE,FOLT,FRUCT,GLUC,HFE,I,K,KCALS,KJ,LACT,MALT,MG,MILK,MN,NA,NCF,NHFE,NIACEQU,NMILK,OSUG,P,PANTO,PROT,RET,RIBO,SATFA,SE,STAR,SUCR,THIA,TOTCAR,TOTNIT,TOTSUG,TRANS,VITA,VITB12,VITB6,VITC,VITD,VITE,WATER,ZN
Jaffa Cakes,2 Jaffa Cakes,1.3588,105.3361,122.6152,2.9242,18.3424,1.4621,0.6646,0,1.6615,2.326,1.3292,15.2854,24.0578,2.9906,26.5832,1.0567,0.0166,0.1661,0.0731,0.3323,2.9242,0.864,2.9906,0.6314,2.9574,0,1.6615,44.1946,122.6152,518.7054,0.0665,2.0934,9.6364,0.4984,0.1063,33.229,1.8941,0.864,0.6314,17.844,0.4984,32.5645,0.1661,1.4621,4.9844,0.0432,1.6315,0.9969,5.7486,12.1286,0.0432,3.3229,0.2658,18.3424,0.0033,5.6489,0.1329,0.0332,0.5317,0,0,4.4527,0.2326
Leeks,"Cooked Fresh, 100 g",2.0604,159.7175,20.9629,0.6988,2.3958,1.1979,0,0,149.7351,0,0.9982,19.9647,2.5954,0,42.9241,0,0.2396,0.1597,0.02,1.697,0.6988,0.6988,39.9294,0.7986,0.6988,0,1.9965,149.7351,20.9629,86.8464,0,0,1.9965,2.3958,0.1996,5.9894,6.239,0.6988,0.5989,0,0.3993,31.9435,0.0998,1.1979,0,0.02,0.1098,0.9982,0.1996,0.4991,0.02,149.7351,0.1996,2.3958,0,24.9559,0,0.0998,6.9876,0,0.7986,92.0372,0.1996
Lettuce,"Raw Lettuce, 40 g",0.1928,14.9447,4.2785,0.0389,0.5445,0.4667,0,0,23.3371,0,0.389,9.3348,0.5445,0,30.3382,0,0.0156,0.0078,0.0117,0.5056,0.0389,0.0389,23.3371,0.3112,0.2334,0,0.389,86.3472,4.2785,18.6697,0,0,3.5006,0.5445,0.0545,3.5006,2.4309,0.0389,0.2723,0,0,8.5569,0.0778,0.4667,0,0.0194,0.0078,0,0,0,0.0545,23.3371,0.0778,0.5445,0,3.8895,0,0,0.5445,0,0.2334,37.3782,0.0778
Milk Chocolate,A Milk Chocolate Bar,2.1801,169,259.042,15.5225,27.9505,3.6435,0,0,10.9805,0,0.998,112.8005,27.9505,10.9805,94.8325,4.7115,0.05,0.514,0.1545,0.649,15.5225,1.048,4.492,0,0,0,25.455,225.102,259.042,1083.5835,4.592,0,28.4495,4.592,0.1495,44.4215,3.1845,1.048,1.3475,23.3585,0,111.802,0.3495,3.6435,32.9415,0.2645,9.3385,1.4975,0,23.3585,0.06,10.9805,0.549,27.9505,0.08,34.938,1.048,0.1,0,0,0.1995,0.7985,0.549
Milk,"2\% Semi-skimmed Milk, 175 ml",3.4577,268.0386,86.404,3.0722,8.8324,6.5283,0,0,17.2808,0,7.68035,230.41065,8.8324,11.52055,167.0477,0.71045,0.0192,0.096,0,0,3.07215,0,23.04105,0,0,0,71.0433,301.45395,86.404,366.73695,8.8324,0,19.2009,8.8324,0,78.72365,12.25015,0,1.7281,0,0,184.3285,1.9201,6.5283,40.32185,0.48,1.9393,1.9201,0,0,0.0576,17.2808,0.96005,8.8324,0.1344,44.16205,1.7281,0.192,3.8402,0,0.192,171.65595,0.76805
Salad,"Mixed Leaf, 100 g",1.095,84.8835,13.7935,0.212,1.061,1.91,0,0,466.8605,3.183,1.061,71.09,1.061,0,89.128,0.0105,0.106,0.0425,0.0745,1.3795,0.212,0.6365,79.5785,0.6365,0.4245,0,2.122,335.2905,13.7935,59.4185,0,0,24.404,1.061,0.297,15.9155,6.6315,0.6365,1.061,0,0,31.8315,0.3185,1.91,0,0.106,0.032,1.061,0,0,0.1485,467.9215,0.3185,1.061,0,78.5175,0,0,9.231,0,0.5305,100.6935,0.3185
Mushrooms,"Uncooked Mushrooms, 50 g",0.5352,41.4882,4.6674,0.1556,0,0.726,0,0,0,0,5.7046,1.5558,0.0519,0,48.23,0.0052,0.0674,0.0156,0.1815,1.0372,0.1556,0.1556,7.779,0,0,0,1.0372,112.018,4.6674,19.1883,0,0,4.1488,0,0.0259,1.5558,3.2413,0.1556,1.3484,0,0,38.8951,0.6742,0.726,0,0.1348,0.0363,8.2976,0.0519,0,0.0467,0,0.3112,0,0,0,0,0.0519,0,0,0,48.2818,0.4667
Onion,1 Medium Raw Onion,0.3302,25.6002,48.882,0.1397,8.6591,1.676,0,0,13.9663,0,1.3966,41.8989,11.0334,0,75.4179,0.0279,0,0.0698,0.0559,1.5363,0.1397,0.419,15.3629,2.5139,3.2122,0,2.7933,192.7347,48.882,209.4943,0,0,11.173,8.6591,0.1397,4.1899,8.7289,0.419,0.6983,0,0,32.1225,0.1397,1.676,0,0.0279,0.0279,0,0,2.9329,0.1536,13.9663,0.2793,8.6591,0,2.7933,0,0.1397,4.3295,0,0.419,111.5906,0.1397
Orange Juice,"1 Glass Unsweetened Juice, 190 ml",1.9096,148.0303,64.0335,0,16.0084,1.13,0,0,30.1334,90.4002,1.8833,22.6001,16.0084,0,131.8336,0,0,0,0.0565,0.3767,0,0.1883,60.2668,4.52,3.7667,0,1.8833,308.8674,64.0335,274.9673,0,0,18.8334,0,0.0565,5.65,11.7709,0.1883,0.7533,16.0084,0,30.1334,0.3767,1.13,0,0.0377,0,0,0,7.7217,0.6215,75.3335,0.1883,16.0084,0,13.1834,0,0,58.7601,0,0.3767,168.3704,0.1883
Parsnips,"1 Parsnip Cooked from Fresh, 90 g",1.8927,146.7219,60.5228,1.1004,5.9606,1.4672,0,0,27.5104,0,0,45.8506,11.8295,0,30.2614,0.4952,0.0092,0.1742,0.0367,4.31,1.1004,0.5502,37.5975,0.4585,0.7336,0,1.834,320.9542,60.5228,254.9294,0,0,21.0913,5.9606,0.2751,3.668,5.7313,0.5502,1.0087,0,0.5502,69.6929,0.2751,1.4672,0,0.0092,0.2109,1.834,5.8689,4.1266,0.0642,27.5104,0.2751,5.9606,0,4.5851,0,0.0917,9.1701,0,0.917,72.1688,0.2751
